latitude,longitude,label
9.6834945,77.2698409,partly coconut farm
9.680509,77.2681259,not coconut farm
9.691598,77.2804739,not coconut farm
9.684774,77.2554349,coconut farm
9.690745,77.2742999,coconut farm
9.6877595,77.2664109,not coconut farm
9.6800825,77.2677829,not coconut farm
9.697569,77.2568069,partly coconut farm
9.682215,77.2715559,not coconut farm
9.68648,77.2554349,partly coconut farm
9.689892,77.2691549,coconut farm
9.6894655,77.2804739,not coconut farm
9.68648,77.2839039,not coconut farm
9.695863,77.2787589,not coconut farm
9.676244,77.2804739,partly coconut farm
9.6937305,77.2811599,not coconut farm
9.690745,77.2681259,coconut farm
9.681362,77.2828749,not coconut farm
9.696716,77.2753289,not coconut farm
9.700981,77.2574929,not coconut farm
9.6920245,77.2681259,coconut farm
9.678803,77.2578359,coconut farm
9.6800825,77.2657249,partly coconut farm
9.6766705,77.2694979,not coconut farm
9.6962895,77.2808169,not coconut farm
9.6903185,77.2859619,not coconut farm
9.6860535,77.2633239,coconut farm
9.677097,77.2684689,partly coconut farm
9.6962895,77.2842469,not coconut farm
9.688186,77.2756719,coconut farm
9.6954365,77.2660679,not coconut farm
9.693304,77.2636669,not coconut farm
9.683921,77.2598939,not coconut farm
9.700128,77.2653819,not coconut farm
9.6800825,77.2698409,coconut farm
9.695863,77.2832179,not coconut farm
9.679656,77.2736139,not coconut farm
9.696716,77.2640099,not coconut farm
9.6766705,77.2742999,not coconut farm
9.683921,77.2684689,not coconut farm
9.68648,77.2643529,coconut farm
9.69501,77.2688119,partly coconut farm
9.6894655,77.2742999,partly coconut farm
9.681362,77.2791019,partly coconut farm
9.67795,77.2684689,not coconut farm
9.699275,77.2622949,not coconut farm
9.691598,77.2715559,coconut farm
9.6826415,77.2633239,coconut farm
9.6860535,77.2787589,not coconut farm
9.689892,77.2612659,partly coconut farm
9.688186,77.2739569,not coconut farm
9.6809355,77.2581789,coconut farm
9.6920245,77.2821889,not coconut farm
9.682215,77.2612659,coconut farm
9.680509,77.2550919,partly coconut farm
9.683068,77.2708699,partly coconut farm
9.6937305,77.2729279,coconut farm
9.698422,77.2629809,not coconut farm
